account_id,company,domain,slug,hq_city,hq_state,hq_country,hq_label,in_sd_or_denver_metro,revenue,revenue_label,employees_total,employees_label,engineering_headcount,engineering_headcount_label,sector,sector_label,cto_name,cto_title,cto_source_date,cto_source_url,cio_name,cio_title,cio_source_date,cio_source_url,vp_eng_name,vp_eng_title,vp_eng_source_date,vp_eng_source_url,github_org,github_url,github_label,near_match_notes,seed_thesis_status,last_researched
A011,Pier 14 Labs,pier14labs.com,pier-14-labs,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real entities: pierlabs on GitHub (https://github.com/pierlabs, 21 repos, Portuguese-language docs); Pier Labs Canada (https://ca.linkedin.com/company/pier-labs, federally incorporated NPO, societal research — not a 310-person developer tools shop); Pierre (YC W23, https://www.ycombinator.com/companies/pierre, only 10 employees, git platform, SF). None match the seeded Series B dev tools company.",UNVERIFIED,2026-07-14
A012,Sable Stream,sablestream.io,sable-stream,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real Sable companies: Sable (withsable.com, voice/vision browser automation), Sable credit & banking platform (https://www.crunchbase.com/organization/sable). GitHub 'Sable' org is the Sable Research Group (https://github.com/Sable, 126 repos, compiler research — McGill). None match 95-employee US Seed-stage data infra streaming.",UNVERIFIED,2026-07-14
A013,Tinroof,tinroof.dev,tinroof,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real Tin Roof Software exists (https://www.linkedin.com/company/tin-roof-software/, https://www.inc.com/profile/tin-roof-software) — but it is a US software services / staff augmentation firm with 9,756+ LinkedIn followers, not a Canadian 140-employee Series A AI/ML product company. https://github.com/tinrab belongs to an individual 'Tin Rabzelj' and is unrelated.",UNVERIFIED,2026-07-14
A014,Foldwise,foldwise.com,foldwise,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real Fold entities: Fold Bitcoin finance (https://www.linkedin.com/company/fold-app, https://www.crunchbase.com/organization/foldbank, SPAC EMLD 2024); Fold Inc. (https://www.zoominfo.com/c/fold-inc/371695197, Arizona); Fold banking app (https://fold.money/). None are a US 230-employee Series B fintech infra monolith-to-event-driven migration company at foldwise.com.",UNVERIFIED,2026-07-14
A015,Granite Route,graniteroute.io,granite-route,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real Granite entities: IBM Granite (https://github.com/ibm-granite, 27 repos on github.com/ibm-granite, https://www.ibm.com/granite) — open-source LLM family, not a Series C developer tools company and not on graniteroute.io; Granite Media LLC at granite.io (ad-tech). Neither matches the seeded 470-employee platform-engineering spinout.",UNVERIFIED,2026-07-14
A016,Lumen Atlas,lumenatlas.com,lumen-atlas,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Lumen Atlas itself resolves to a 'transform strategy into action' consulting landing page (https://lumenatlas.com), not a 200-employee AI/ML eval platform company. Other Lumen entities: Lumenalta (https://lumenalta.com, AI/ML services), Lumen Technologies (telecom network), Lumenore (BI/analytics). GitHub 'lumen' (https://github.com/lumen, 13 repos) is unrelated.",UNVERIFIED,2026-07-14
A017,Birchline,birchline.com,birchline,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Birchline LinkedIn page exists (https://www.linkedin.com/company/birchline, 12 followers) but is described as a 'Gourmet Kitchen & Home retailer' — not a Series A fintech infra acquiring-competitor integration company. GitHub 'birchline-ui' (https://github.com/jmcminn/birchline-ui) is an unaffiliated UI tool, not part of a fintech product co.",UNVERIFIED,2026-07-14
A018,Drift Forge,driftforge.dev,drift-forge,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"driftforge.dev resolves to an RC drift car configurator (https://driftforge.dev/) — a hobby/hobbyist site, not a 65-employee US Seed-stage developer tools local-dev cloud company. Other Drift/Forge entities: Drift Labs Solana perpetuals (https://github.com/drift-labs), Drift the messaging co (drift.com), Forge-NC local-first AI (https://github.com/Forge-NC/Forge). None match the seed.",UNVERIFIED,2026-07-14
A019,Sablon,sablon.io,sablon,UNKNOWN,UNKNOWN,Germany,CANNOT_VERIFY,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Sablono (note spelling) is the real nearest match: Berlin, construction-tech, Series A €5.3M 2021 (https://www.startbase.com/news/sablono-erzielt-series-a-ueber-53-millionen-euro/, https://www.cbinsights.com/company/sablono, https://www.zoominfo.com/c/sablono-gmbh/372528893) — but it is construction project management, not data infrastructure, and the domain is sablono.com not sablon.io. GitHub 'sablon' (https://github.com/sablon) exists with only 1 repo and does not match.",UNVERIFIED,2026-07-14
A020,Northgate Loom,northgatelocom.com,northgate-loom,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real Loom entities: Loom video messaging (loomhq on GitHub https://github.com/loomhq, https://en.wikipedia.org/wiki/Loom,_Inc.), Loom Systems AIOps (acquired by ServiceNow), Loom.ai (acquired by Roblox). 'Loom' on GitHub (https://github.com/loom-os, https://github.com/loom-agents/agents) is event-driven AI orchestration — different product, different company from the seed. Northgate is a real VC firm (https://northgate.world/our-investments/), not a Series A platform co.",UNVERIFIED,2026-07-14
